============================================================
Bolsa de Arte — Coletor de Cotações
Início: 21/03/2026 19:46:14
============================================================
DB atual: 0 cotações
  Modo: varredura completa | Início: pág 1
  Pág   299 | +12 novos | Total novo: 3588
  Pág   300 | +12 novos | Total novo: 3600
  Pág   301 | +12 novos | Total novo: 3612
  Pág   302 | +12 novos | Total novo: 3624
  Pág   303 | +12 novos | Total novo: 3636
  Pág   304 | +12 novos | Total novo: 3648
  Pág   305 | +12 novos | Total novo: 3660
  Pág   306 | +12 novos | Total novo: 3672
  Pág   307 | +12 novos | Total novo: 3684
  Pág   308 | +12 novos | Total novo: 3696
  Pág   309 | +12 novos | Total novo: 3708
  Pág   310 | +12 novos | Total novo: 3720
  Pág   311 | +12 novos | Total novo: 3732
  Pág   312 | +12 novos | Total novo: 3744
  Pág   313 | +12 novos | Total novo: 3756
  Pág   314 | +12 novos | Total novo: 3768
  Pág   315 | +12 novos | Total novo: 3780
  Pág   316 | +12 novos | Total novo: 3792
  Pág   317 | +12 novos | Total novo: 3804
  Pág   318 | +12 novos | Total novo: 3816
  Pág   319 | +12 novos | Total novo: 3828
  Pág   320 | +12 novos | Total novo: 3840
  Pág   321 | +12 novos | Total novo: 3852
  Pág   322 | +12 novos | Total novo: 3864
  Pág   323 | +12 novos | Total novo: 3876
  Pág   324 | +12 novos | Total novo: 3888
  Pág   325 | +12 novos | Total novo: 3900
  Pág   326 | +12 novos | Total novo: 3912
  Pág   327 | +12 novos | Total novo: 3924
  Pág   328 | +12 novos | Total novo: 3936
  Pág   329 | +12 novos | Total novo: 3948
  Pág   330 | +12 novos | Total novo: 3960
  Pág   331 | +12 novos | Total novo: 3972
  Pág   332 | +12 novos | Total novo: 3984
  Pág   333 | +12 novos | Total novo: 3996
  Pág   334 | +12 novos | Total novo: 4008
  Pág   335 | +12 novos | Total novo: 4020
  Pág   336 | +12 novos | Total novo: 4032
  Pág   337 | +12 novos | Total novo: 4044
  Pág   338 | +12 novos | Total novo: 4056
  Pág   339 | +12 novos | Total novo: 4068
  Pág   340 | +12 novos | Total novo: 4080
  Pág   341 | +12 novos | Total novo: 4092
  Pág   342 | +12 novos | Total novo: 4104
  Pág   343 | +12 novos | Total novo: 4116
  Pág   344 | +12 novos | Total novo: 4128
  Pág   345 | +12 novos | Total novo: 4140
  Pág   346 | +12 novos | Total novo: 4152
  Pág   347 | +12 novos | Total novo: 4164
  Pág   348 | +12 novos | Total novo: 4176
  Pág   349 | +12 novos | Total novo: 4188
  Pág   350 | +12 novos | Total novo: 4200
  Pág   351 | +12 novos | Total novo: 4212
  Pág   352 | +12 novos | Total novo: 4224
  Pág   353 | +12 novos | Total novo: 4236
  Pág   354 | +12 novos | Total novo: 4248
  Pág   355 | +12 novos | Total novo: 4260
  Pág   356 | +12 novos | Total novo: 4272
  Pág   357 | +12 novos | Total novo: 4284
  Pág   358 | +12 novos | Total novo: 4296
  Pág   359 | +12 novos | Total novo: 4308
  Pág   360 | +12 novos | Total novo: 4320
  Pág   361 | +12 novos | Total novo: 4332
  Pág   362 | +12 novos | Total novo: 4344
  Pág   363 | +12 novos | Total novo: 4356
  Pág   364 | +12 novos | Total novo: 4368
  Pág   365 | +12 novos | Total novo: 4380
  Pág   366 | +12 novos | Total novo: 4392
  Pág   367 | +12 novos | Total novo: 4404
  Pág   368 | +12 novos | Total novo: 4416
  Pág   369 | +12 novos | Total novo: 4428
  Pág   370 | +12 novos | Total novo: 4440
  Pág   371 | +12 novos | Total novo: 4452
  Pág   372 | +12 novos | Total novo: 4464
  Pág   373 | +12 novos | Total novo: 4476
  Pág   374 | +12 novos | Total novo: 4488
  Pág   375 | +12 novos | Total novo: 4500
  Pág   376 | +12 novos | Total novo: 4512
  Pág   377 | +12 novos | Total novo: 4524
  Pág   378 | +12 novos | Total novo: 4536
  Pág   379 | +12 novos | Total novo: 4548
  Pág   380 | +12 novos | Total novo: 4560
  Pág   381 | +12 novos | Total novo: 4572
  Pág   382 | +12 novos | Total novo: 4584
  Pág   383 | +12 novos | Total novo: 4596
  Pág   384 | +12 novos | Total novo: 4608
  Pág   385 | +12 novos | Total novo: 4620
  Pág   386 | +12 novos | Total novo: 4632
  Pág   387 | +12 novos | Total novo: 4644
  Pág   388 | +12 novos | Total novo: 4656
  Pág   389 | +12 novos | Total novo: 4668
  Pág   390 | +12 novos | Total novo: 4680
  Pág   391 | +12 novos | Total novo: 4692
  Pág   392 | +12 novos | Total novo: 4704
  Pág   393 | +12 novos | Total novo: 4716
  Pág   394 | +12 novos | Total novo: 4728
  Pág   395 | +12 novos | Total novo: 4740
  Pág   396 | +12 novos | Total novo: 4752
  Pág   397 | +12 novos | Total novo: 4764
  Pág   398 | +12 novos | Total novo: 4776
  Pág   399 | +12 novos | Total novo: 4788
  Pág   400 | +12 novos | Total novo: 4800
  Pág   401 | +12 novos | Total novo: 4812
  Pág   402 | +12 novos | Total novo: 4824
  Pág   403 | +12 novos | Total novo: 4836
  Pág   404 | +12 novos | Total novo: 4848
  Pág   405 | +12 novos | Total novo: 4860
  Pág   406 | +12 novos | Total novo: 4872
  Pág   407 | +12 novos | Total novo: 4884
  Pág   408 | +12 novos | Total novo: 4896
  Pág   409 | +12 novos | Total novo: 4908
  Pág   410 | +12 novos | Total novo: 4920
  Pág   411 | +12 novos | Total novo: 4932
  Pág   412 | +12 novos | Total novo: 4944
  Pág   413 | +12 novos | Total novo: 4956
  Pág   414 | +12 novos | Total novo: 4968
  Pág   415 | +12 novos | Total novo: 4980
  Pág   416 | +12 novos | Total novo: 4992
  Pág   417 | +12 novos | Total novo: 5004
  Pág   418 | +12 novos | Total novo: 5016
  Pág   419 | +12 novos | Total novo: 5028
  Pág   420 | +12 novos | Total novo: 5040
  Pág   421 | +12 novos | Total novo: 5052
  Pág   422 | +12 novos | Total novo: 5064
  Pág   423 | +12 novos | Total novo: 5076
  Pág   424 | +12 novos | Total novo: 5088
  Pág   425 | +12 novos | Total novo: 5100
  Pág   426 | +12 novos | Total novo: 5112
  Pág   427 | +12 novos | Total novo: 5124
  Pág   428 | +12 novos | Total novo: 5136
  Pág   429 | +12 novos | Total novo: 5148
  Pág   430 | +12 novos | Total novo: 5160
  Pág   431 | +12 novos | Total novo: 5172
  Pág   432 | +12 novos | Total novo: 5184
  Pág   433 | +12 novos | Total novo: 5196
  Pág   434 | +12 novos | Total novo: 5208
